2_022 : 0.32,0.29,0.32,0.54,0.55,0.34,0.53,0.39,0.38,0.44,0.43,0.36,0.27,0.32,0.43,0.32,0.3,0.56,0.6,0.36,0.4,0.34,0.62,0.32,0.43,0.54,0.49,0.46,0.32,0.48,0.52,0.53,0.51,0.39,0.34,0.6,0.3,0.45,0.39,0.5,0.48,0.46,0.37,0.41,0.42,0.34,0.34,0.29,0.3,0.59,
2_035 : 0.3,0.34,0.32,0.31,0.3,0.28,0.32,0.29,0.35,0.32,0.32,0.3,0.31,0.43,0.3,0.36,0.31,0.34,0.31,0.35,0.28,0.3,0.31,0.32,0.39,0.29,0.32,0.34,0.33,0.29,0.3,0.4,0.48,0.45,0.27,0.43,0.36,0.31,0.39,0.33,0.38,0.32,0.33,0.31,0.3,0.31,0.34,0.33,0.32,0.3,
2_052 : 0.74,0.63,0.75,0.73,0.74,0.74,0.63,0.74,0.68,0.73,0.74,0.57,0.74,0.75,0.73,0.6,0.74,0.74,0.63,0.74,0.73,0.63,0.74,0.73,0.74,0.73,0.74,0.65,0.73,0.73,0.64,0.65,0.73,0.74,0.74,0.72,0.64,0.67,0.67,0.74,0.73,0.74,0.58,0.68,0.63,0.62,0.71,0.6,0.71,0.74,
2_029 : 0.58,0.57,0.64,0.45,0.66,0.6,0.7,0.67,0.63,0.65,0.68,0.58,0.64,0.69,0.64,0.57,0.66,0.66,0.71,0.63,0.58,0.66,0.64,0.62,0.55,0.62,0.52,0.53,0.33,0.6,0.57,0.6,0.58,0.64,0.66,0.57,0.58,0.68,0.66,0.63,0.57,0.68,0.69,0.6,0.65,0.6,0.59,0.68,0.63,0.62,
2_010 : 0.62,0.56,0.46,0.54,0.57,0.59,0.5,0.59,0.57,0.57,0.62,0.58,0.5,0.58,0.31,0.62,0.58,0.5,0.39,0.6,0.57,0.34,0.57,0.52,0.43,0.57,0.4,0.58,0.35,0.36,0.33,0.59,0.7,0.69,0.59,0.71,0.58,0.51,0.42,0.61,0.5,0.59,0.69,0.58,0.57,0.37,0.39,0.36,0.52,0.44,
2_023 : 0.71,0.55,0.48,0.61,0.59,0.64,0.64,0.6,0.64,0.67,0.46,0.6,0.42,0.7,0.59,0.64,0.44,0.68,0.65,0.66,0.58,0.44,0.71,0.71,0.68,0.47,0.65,0.72,0.66,0.72,0.59,0.52,0.58,0.64,0.75,0.66,0.58,0.63,0.62,0.61,0.45,0.72,0.64,0.65,0.71,0.71,0.69,0.63,0.58,0.51,
2_U10-009 : 0.74,0.73,0.62,0.64,0.73,0.63,0.75,0.62,0.74,0.62,0.73,0.74,0.64,0.64,0.73,0.74,0.62,0.74,0.72,0.62,0.75,0.73,0.64,0.66,0.62,0.61,0.73,0.74,0.63,0.69,0.73,0.74,0.61,0.61,0.74,0.76,0.62,0.74,0.73,0.6,0.73,0.73,0.63,0.75,0.73,0.74,0.75,0.74,0.64,0.74,
2_024 : 0.72,0.73,0.73,0.66,0.65,0.61,0.71,0.75,0.69,0.58,0.71,0.63,0.72,0.71,0.6,0.61,0.73,0.6,0.7,0.71,0.73,0.73,0.72,0.6,0.7,0.71,0.67,0.75,0.63,0.76,0.72,0.6,0.65,0.66,0.68,0.59,0.72,0.71,0.64,0.63,0.63,0.72,0.7,0.59,0.75,0.63,0.7,0.71,0.68,0.74,
2_U100-006 : 0.76,0.74,0.78,0.78,0.77,0.75,0.75,0.76,0.76,0.78,0.77,0.76,0.77,0.77,0.75,0.76,0.76,0.75,0.77,0.75,0.77,0.76,0.76,0.78,0.76,0.77,0.78,0.77,0.75,0.76,0.78,0.76,0.75,0.77,0.75,0.76,0.76,0.76,0.76,0.77,0.77,0.77,0.75,0.76,0.78,0.77,0.78,0.75,0.79,0.77,
2_025 : 0.6,0.73,0.64,0.7,0.55,0.62,0.6,0.65,0.59,0.61,0.63,0.58,0.58,0.6,0.61,0.61,0.64,0.59,0.57,0.62,0.57,0.72,0.43,0.74,0.63,0.59,0.65,0.64,0.59,0.59,0.51,0.65,0.67,0.63,0.62,0.62,0.6,0.71,0.67,0.57,0.71,0.6,0.6,0.59,0.48,0.63,0.68,0.61,0.63,0.62,
